screen_id,state,url,module,wave,service_dependencies,directive_dependencies,external_dependencies,justification
dashboard,dashboard,/dashboard,BlurAdmin.pages.dashboard,wave3,"baConfig,baUtil,layoutPaths,colorHelper",baPanel,"AmCharts,Chart.js,fullCalendar,easyPieChart","Heavy dependencies on theme services for chart colors. 8 widgets with multiple chart integrations."
ui.typography,ui.typography,/ui/typography,BlurAdmin.pages.ui.typography,wave1,,baPanel,,"Static content screen with no controllers or service dependencies."
ui.buttons,ui.buttons,/ui/buttons,BlurAdmin.pages.ui.buttons,wave2,,baPanel,angular-progress-button-styles,"Button examples with ButtonPageCtrl. Depends on external library."
ui.icons,ui.icons,/ui/icons,BlurAdmin.pages.ui.icons,wave2,,baPanel,,"Icon gallery with simple controller."
ui.modals,ui.modals,/ui/modals,BlurAdmin.pages.ui.modals,wave2,"baProgressModal,$uibModal",baPanel,ui.bootstrap,"Modal examples depending on $uibModal and baProgressModal service."
ui.grid,ui.grid,/ui/grid,BlurAdmin.pages.ui.grid,wave1,,baPanel,,"Static grid layout examples."
ui.alerts,ui.alerts,/ui/alerts,BlurAdmin.pages.ui.alerts,wave1,,baPanel,,"Static alert examples."
ui.progressBars,ui.progressBars,/ui/progressBars,BlurAdmin.pages.ui.progressBars,wave1,,"baPanel,progressBarRound",,"Progress bar examples with simple directive."
ui.notifications,ui.notifications,/ui/notifications,BlurAdmin.pages.ui.notifications,wave2,"toastr,toastrConfig",baPanel,angular-toastr,"Notification examples depending on toastr library."
ui.tabs,ui.tabs,/ui/tabs,BlurAdmin.pages.ui.tabs,wave1,,baPanel,ui.bootstrap,"Tab examples using ui.bootstrap."
ui.slider,ui.slider,/ui/slider,BlurAdmin.pages.ui.slider,wave2,,"baPanel,ionSlider",ion.rangeSlider,"Slider examples requiring ionSlider directive wrapper."
ui.panels,ui.panels,/ui/panels,BlurAdmin.pages.ui.panels,wave1,,baPanel,,"Panel examples demonstrating baPanel variations."
components.mail,components.mail,/components/mail,BlurAdmin.pages.components.mail,wave3,mailMessages,baPanel,textAngular,"Mail client with 3 controllers and nested routes."
components.timeline,components.timeline,/components/timeline,BlurAdmin.pages.components.timeline,wave1,,baPanel,,"Timeline component with simple controller."
components.tree,components.tree,/components/tree,BlurAdmin.pages.components.tree,wave2,,baPanel,"ngJsTree,jstree","Tree view depending on ngJsTree library."
form.inputs,form.inputs,/form/inputs,BlurAdmin.pages.form,wave2,,"baPanel,baSwitcher","ui.select,bootstrap-tagsinput","Form inputs requiring baSwitcher and ui.select."
form.layouts,form.layouts,/form/layouts,BlurAdmin.pages.form,wave1,,baPanel,,"Form layout examples with no controllers."
form.wizard,form.wizard,/form/wizard,BlurAdmin.pages.form,wave2,,"baPanel,baWizard,baWizardStep",,"Multi-step wizard requiring baWizard directives."
tables.basic,tables.basic,/tables/basic,BlurAdmin.pages.tables,wave2,"$filter,editableOptions,editableThemes",baPanel,xeditable,"Basic tables with inline editing."
tables.smart,tables.smart,/tables/smart,BlurAdmin.pages.tables,wave2,"$filter,editableOptions,editableThemes",baPanel,"smart-table,xeditable","Smart tables with sorting/filtering."
charts.amCharts,charts.amCharts,/charts/amCharts,BlurAdmin.pages.charts.amCharts,wave3,"baConfig,layoutPaths",baPanel,AmCharts,"AmCharts examples with 7 chart controllers and custom theme."
charts.chartJs,charts.chartJs,/charts/chartJs,BlurAdmin.pages.charts.chartJs,wave3,"baConfig,stopableInterval",baPanel,"chart.js,angular-chart.js","Chart.js examples with animated charts."
charts.chartist,charts.chartist,/charts/chartist,BlurAdmin.pages.charts.chartist,wave3,baConfig,baPanel,"angular-chartist,Chartist","Chartist examples using baConfig colors."
charts.morris,charts.morris,/charts/morris,BlurAdmin.pages.charts.morris,wave3,baConfig,baPanel,"angular.morris-chart,Morris,Raphael","Morris chart examples using baConfig colors."
maps.gmap,maps.gmap,/maps/gmap,BlurAdmin.pages.maps,wave3,$timeout,baPanel,google.maps,"Google Maps requiring external API."
maps.leaflet,maps.leaflet,/maps/leaflet,BlurAdmin.pages.maps,wave3,$timeout,baPanel,Leaflet,"Leaflet map integration."
maps.bubble,maps.bubble,/maps/bubble,BlurAdmin.pages.maps,wave3,"baConfig,$timeout,layoutPaths",baPanel,"AmCharts,ammap","AmCharts map with bubble visualization."
maps.line,maps.line,/maps/line,BlurAdmin.pages.maps,wave3,"baConfig,$timeout,layoutPaths",baPanel,"AmCharts,ammap","AmCharts map with flight lines."
profile,profile,/profile,BlurAdmin.pages.profile,wave3,"fileReader,$filter,$uibModal","baPanel,baSwitcher,ngFileSelect",ui.bootstrap,"User profile with file upload and modal."
